player_name,pos,team_name,snap_num,l_end__att,l_tckl__att,l_guard__att,mid__att,r_guard__att,r_tckl__att,r_end__att
Andre Ellington,RB,Arizona Cardinals,262,0.0,0.2,0.05,0.6,0.05,0.0,0.1
D.J. Foster,RB,Arizona Cardinals,83,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0
Chris Johnson,RB,Arizona Cardinals,107,0.13333333333333333,0.13333333333333333,0.0,0.4666666666666667,0.044444444444444446,0.044444444444444446,0.17777777777777778
David Johnson,RB,Arizona Cardinals,46,0.3,0.3,0.0,0.2,0.0,0.1,0.1
Chad Williams,WR,Arizona Cardinals,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tevin Coleman,RB,Atlanta Falcons,424,0.20915032679738563,0.1568627450980392,0.1568627450980392,0.0784313725490196,0.11764705882352941,0.1503267973856209,0.13071895424836602
Devonta Freeman,RB,Atlanta Falcons,551,0.17277486910994763,0.1518324607329843,0.12041884816753927,0.1099476439790576,0.11518324607329843,0.18848167539267016,0.14136125654450263
Terron Ward,RB,Atlanta Falcons,74,0.06896551724137931,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.1724137931034483,0.20689655172413793
Taylor Gabriel,WR,Atlanta Falcons,249,0.75,0.0,0.0,0.0,0.0,0.0,0.25
Mohamed Sanu,WR,Atlanta Falcons,190,0.25,0.0,0.0,0.25,0.25,0.0,0.25
Javorius Allen,RB,Baltimore Ravens,464,0.032679738562091505,0.10457516339869281,0.21568627450980393,0.19607843137254902,0.35947712418300654,0.058823529411764705,0.032679738562091505
Alex Collins,RB,Baltimore Ravens,379,0.09905660377358491,0.10849056603773585,0.19811320754716982,0.10377358490566038,0.2783018867924528,0.10377358490566038,0.10849056603773585
Chris Moore,WR,Baltimore Ravens,90,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Mike Wallace,WR,Baltimore Ravens,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Tolbert,FB,Buffalo Bills,203,0.06060606060606061,0.07575757575757576,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.16666666666666666,0.015151515151515152
Travaris Cadet,RB,Buffalo Bills,111,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.30434782608695654,0.043478260869565216,0.21739130434782608,0.08695652173913043
LeSean McCoy,RB,Buffalo Bills,719,0.10954063604240283,0.12367491166077739,0.14487632508833923,0.24028268551236748,0.1625441696113074,0.14487632508833923,0.07420494699646643
Deonte Thompson,WR,Buffalo Bills,60,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Christian McCaffrey,RB,Carolina Panthers,746,0.18803418803418803,0.1282051282051282,0.1794871794871795,0.18803418803418803,0.1282051282051282,0.08547008547008547,0.10256410256410256
Jonathan Stewart,RB,Carolina Panthers,403,0.09693877551020408,0.10714285714285714,0.10204081632653061,0.32653061224489793,0.1836734693877551,0.1326530612244898,0.05102040816326531
Kaelin Clay,WR,Carolina Panthers,132,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Samuel,WR,Carolina Panthers,126,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Russell Shepard,WR,Carolina Panthers,61,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Tarik Cohen,RB,Chicago Bears,353,0.21686746987951808,0.12048192771084337,0.1686746987951807,0.04819277108433735,0.0963855421686747,0.10843373493975904,0.24096385542168675
Benny Cunningham,RB,Chicago Bears,84,0.4444444444444444,0.0,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111
Jordan Howard,RB,Chicago Bears,576,0.22181818181818183,0.14545454545454545,0.20727272727272728,0.07272727272727272,0.14545454545454545,0.08363636363636363,0.12363636363636364
Joe Mixon,RB,Cincinnati Bengals,384,0.0903954802259887,0.12994350282485875,0.15254237288135594,0.14689265536723164,0.24293785310734464,0.1751412429378531,0.062146892655367235
Josh Malone,WR,Cincinnati Bengals,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isaiah Crowell,RB,Cleveland Browns,536,0.0891089108910891,0.06435643564356436,0.21287128712871287,0.15346534653465346,0.30198019801980197,0.12871287128712872,0.04950495049504951
Duke Johnson,RB,Cleveland Browns,516,0.0625,0.0875,0.2,0.2875,0.1625,0.0875,0.1125
Rashard Higgins,WR,Cleveland Browns,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ezekiel Elliott,RB,Dallas Cowboys,589,0.0794979079497908,0.14225941422594143,0.11297071129707113,0.28870292887029286,0.1087866108786611,0.13389121338912133,0.13389121338912133
Dez Bryant,WR,Dallas Cowboys,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrance Williams,WR,Dallas Cowboys,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Anderson,RB,Denver Broncos,618,0.04918032786885246,0.13114754098360656,0.11475409836065574,0.38524590163934425,0.12704918032786885,0.14344262295081966,0.04918032786885246
Ameer Abdullah,RB,Detroit Lions,378,0.18125,0.11875,0.0875,0.2,0.0625,0.18125,0.16875
Tion Green,RB,Detroit Lions,89,0.11904761904761904,0.23809523809523808,0.11904761904761904,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.19047619047619047
Theo Riddick,RB,Detroit Lions,435,0.13095238095238096,0.13095238095238096,0.15476190476190477,0.20238095238095238,0.14285714285714285,0.08333333333333333,0.15476190476190477
Kenny Golladay,WR,Detroit Lions,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,WR,Detroit Lions,167,0.6,0.0,0.0,0.0,0.0,0.0,0.4
Aaron Jones,RB,Green Bay Packers,236,0.22784810126582278,0.1518987341772152,0.10126582278481013,0.21518987341772153,0.13924050632911392,0.0759493670886076,0.08860759493670886
Ty Montgomery,RB,Green Bay Packers,275,0.19718309859154928,0.16901408450704225,0.1267605633802817,0.14084507042253522,0.14084507042253522,0.15492957746478872,0.07042253521126761
Randall Cobb,WR,Green Bay Packers,306,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333
Alfred Blue,RB,Houston Texans,156,0.1267605633802817,0.08450704225352113,0.11267605633802817,0.352112676056338,0.16901408450704225,0.09859154929577464,0.056338028169014086
D'Onta Foreman,RB,Houston Texans,146,0.05128205128205128,0.2564102564102564,0.16666666666666666,0.2692307692307692,0.08974358974358974,0.10256410256410256,0.0641025641025641
Lamar Miller,RB,Houston Texans,752,0.037815126050420166,0.13865546218487396,0.15126050420168066,0.3277310924369748,0.14285714285714285,0.1722689075630252,0.029411764705882353
Bruce Ellington,WR,Houston Texans,204,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Braxton Miller,WR,Houston Texans,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Frank Gore,RB,Indianapolis Colts,555,0.03076923076923077,0.11153846153846154,0.1423076923076923,0.41923076923076924,0.1346153846153846,0.12307692307692308,0.038461538461538464
Marlon Mack,RB,Indianapolis Colts,309,0.0989010989010989,0.15384615384615385,0.06593406593406594,0.2967032967032967,0.13186813186813187,0.0989010989010989,0.15384615384615385
Chester Rogers,WR,Indianapolis Colts,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tommy Bohanon,FB,Jacksonville Jaguars,101,0.0,0.0,0.0,0.6,0.4,0.0,0.0
Leonard Fournette,RB,Jacksonville Jaguars,562,0.09363295880149813,0.08614232209737828,0.12734082397003746,0.3895131086142322,0.12359550561797752,0.08614232209737828,0.09363295880149813
T.J. Yeldon,RB,Jacksonville Jaguars,221,0.16326530612244897,0.04081632653061224,0.08163265306122448,0.42857142857142855,0.08163265306122448,0.14285714285714285,0.061224489795918366
Anthony Sherman,FB,Kansas City Chiefs,52,0.07142857142857142,0.0,0.0,0.6428571428571429,0.0,0.21428571428571427,0.07142857142857142
Kareem Hunt,RB,Kansas City Chiefs,665,0.08208955223880597,0.07835820895522388,0.07835820895522388,0.4253731343283582,0.08208955223880597,0.12313432835820895,0.13059701492537312
Charcandrick West,RB,Kansas City Chiefs,158,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.1111111111111111
Tyreek Hill,WR,Kansas City Chiefs,403,0.4,0.06666666666666667,0.13333333333333333,0.0,0.0,0.06666666666666667,0.3333333333333333
Albert Wilson,WR,Kansas City Chiefs,104,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
Austin Ekeler,RB,Los Angeles Chargers,186,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.3829787234042553,0.14893617021276595,0.0851063829787234,0.1276595744680851
Melvin Gordon,RB,Los Angeles Chargers,749,0.12323943661971831,0.14084507042253522,0.05985915492957746,0.3873239436619718,0.06690140845070422,0.1056338028169014,0.11619718309859155
Branden Oliver,RB,Los Angeles Chargers,104,0.11428571428571428,0.2,0.05714285714285714,0.45714285714285713,0.02857142857142857,0.08571428571428572,0.05714285714285714
Keenan Allen,WR,Los Angeles Chargers,112,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Travis Benjamin,WR,Los Angeles Chargers,232,0.5,0.0,0.0,0.0,0.0,0.0,0.5
Lance Dunbar,RB,Los Angeles Rams,34,0.2727272727272727,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.2727272727272727
Todd Gurley,RB,Los Angeles Rams,788,0.1417910447761194,0.11567164179104478,0.08582089552238806,0.332089552238806,0.12313432835820895,0.10820895522388059,0.09328358208955224
Robert Woods,WR,Los Angeles Rams,133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Ajayi,RB,Miami Dolphins,507,0.15458937198067632,0.1111111111111111,0.12077294685990338,0.21739130434782608,0.13043478260869565,0.14009661835748793,0.12560386473429952
Damien Williams,RB,Miami Dolphins,183,0.021739130434782608,0.08695652173913043,0.17391304347826086,0.30434782608695654,0.2391304347826087,0.13043478260869565,0.043478260869565216
Jarvis Landry,WR,Miami Dolphins,62,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dalvin Cook,RB,Minnesota Vikings,169,0.05405405405405406,0.12162162162162163,0.17567567567567569,0.4594594594594595,0.02702702702702703,0.02702702702702703,0.13513513513513514
Jerick McKinnon,RB,Minnesota Vikings,527,0.16216216216216217,0.13513513513513514,0.1554054054054054,0.20270270270270271,0.11486486486486487,0.11486486486486487,0.11486486486486487
Latavius Murray,RB,Minnesota Vikings,421,0.027777777777777776,0.11574074074074074,0.18518518518518517,0.3055555555555556,0.1712962962962963,0.125,0.06944444444444445
Stefon Diggs,WR,Minnesota Vikings,328,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
Adam Thielen,WR,Minnesota Vikings,68,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mike Gillislee,RB,New England Patriots,171,0.06862745098039216,0.1568627450980392,0.19607843137254902,0.14705882352941177,0.14705882352941177,0.19607843137254902,0.08823529411764706
Dion Lewis,RB,New England Patriots,405,0.0898876404494382,0.15730337078651685,0.19662921348314608,0.3595505617977528,0.07303370786516854,0.09550561797752809,0.028089887640449437
James White,RB,New England Patriots,308,0.047619047619047616,0.11904761904761904,0.11904761904761904,0.42857142857142855,0.19047619047619047,0.07142857142857142,0.023809523809523808
Brandin Cooks,WR,New England Patriots,402,0.75,0.0,0.0,0.0,0.0,0.0,0.25
Chris Hogan,WR,New England Patriots,73,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Zach Line,FB,New Orleans Saints,77,0.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.0
Mark Ingram,RB,New Orleans Saints,569,0.07894736842105263,0.21052631578947367,0.17982456140350878,0.09210526315789473,0.2149122807017544,0.16228070175438597,0.06140350877192982
Alvin Kamara,RB,New Orleans Saints,466,0.1271186440677966,0.1271186440677966,0.2033898305084746,0.11864406779661017,0.15254237288135594,0.1271186440677966,0.1440677966101695
Ted Ginn,WR,New Orleans Saints,332,0.625,0.0,0.0,0.0,0.0,0.0,0.375
Orleans Darkwa,RB,New York Giants,314,0.08187134502923976,0.10526315789473684,0.10526315789473684,0.3567251461988304,0.21637426900584794,0.09941520467836257,0.03508771929824561
Shane Vereen,RB,New York Giants,268,0.022222222222222223,0.08888888888888889,0.26666666666666666,0.4,0.15555555555555556,0.06666666666666667,0.0
Odell Beckham,WR,New York Giants,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tavarres King,WR,New York Giants,112,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sterling Shepard,WR,New York Giants,190,0.25,0.0,0.0,0.0,0.0,0.0,0.75
Matt Forte,RB,New York Jets,361,0.07766990291262135,0.1650485436893204,0.11650485436893204,0.3300970873786408,0.08737864077669903,0.17475728155339806,0.04854368932038835
Bilal Powell,RB,New York Jets,401,0.17045454545454544,0.19318181818181818,0.08522727272727272,0.22727272727272727,0.06818181818181818,0.19886363636363635,0.056818181818181816
Robby Anderson,WR,New York Jets,149,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
Marshawn Lynch,RB,Oakland Raiders,461,0.06280193236714976,0.12560386473429952,0.13526570048309178,0.34299516908212563,0.0966183574879227,0.15458937198067632,0.0821256038647343
Amari Cooper,WR,Oakland Raiders,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,WR,Oakland Raiders,204,0.3076923076923077,0.0,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.0,0.3076923076923077
LeGarrette Blount,RB,Philadelphia Eagles,348,0.15028901734104047,0.08670520231213873,0.028901734104046242,0.45664739884393063,0.08092485549132948,0.11560693641618497,0.08092485549132948
Wendell Smallwood,RB,Philadelphia Eagles,173,0.3404255319148936,0.0425531914893617,0.06382978723404255,0.2978723404255319,0.0,0.0851063829787234,0.1702127659574468
Darren Sproles,RB,Philadelphia Eagles,89,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.0,0.07142857142857142,0.35714285714285715
Nelson Agholor,WR,Philadelphia Eagles,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Torrey Smith,WR,Philadelphia Eagles,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Le'Veon Bell,RB,Pittsburgh Steelers,943,0.03896103896103896,0.11688311688311688,0.1590909090909091,0.2922077922077922,0.19480519480519481,0.11363636363636363,0.08441558441558442
Martavis Bryant,WR,Pittsburgh Steelers,236,0.6,0.0,0.0,0.0,0.0,0.0,0.4
Kyle Juszczyk,FB,San Francisco 49ers,192,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0
Matt Breida,RB,San Francisco 49ers,310,0.1650485436893204,0.10679611650485436,0.10679611650485436,0.18446601941747573,0.17475728155339806,0.0970873786407767,0.1650485436893204
Carlos Hyde,RB,San Francisco 49ers,783,0.10548523206751055,0.16033755274261605,0.10126582278481013,0.29535864978902954,0.08438818565400844,0.0970464135021097,0.15611814345991562
Marquise Goodwin,WR,San Francisco 49ers,131,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chris Carson,RB,Seattle Seahawks,153,0.08163265306122448,0.22448979591836735,0.02040816326530612,0.1836734693877551,0.20408163265306123,0.20408163265306123,0.08163265306122448
Mike Davis,RB,Seattle Seahawks,175,0.16417910447761194,0.14925373134328357,0.08955223880597014,0.2835820895522388,0.08955223880597014,0.11940298507462686,0.1044776119402985
Doug Baldwin,WR,Seattle Seahawks,96,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tyler Lockett,WR,Seattle Seahawks,249,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
Doug Martin,RB,Tampa Bay Buccaneers,287,0.15328467153284672,0.11678832116788321,0.0948905109489051,0.34306569343065696,0.11678832116788321,0.12408759124087591,0.051094890510948905
Adam Humphries,WR,Tampa Bay Buccaneers,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,WR,Tampa Bay Buccaneers,52,0.5,0.0,0.0,0.0,0.0,0.0,0.5
DeMarco Murray,RB,Tennessee Titans,647,0.08152173913043478,0.11956521739130435,0.13043478260869565,0.3532608695652174,0.125,0.14130434782608695,0.04891304347826087
Rishard Matthews,WR,Tennessee Titans,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kapri Bibbs,RB,Washington Redskins,102,0.14285714285714285,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.2857142857142857,0.047619047619047616
Robert Kelley,RB,Washington Redskins,136,0.16393442622950818,0.06557377049180328,0.14754098360655737,0.29508196721311475,0.06557377049180328,0.19672131147540983,0.06557377049180328
Samaje Perine,RB,Washington Redskins,359,0.17714285714285713,0.12,0.10857142857142857,0.21714285714285714,0.13714285714285715,0.11428571428571428,0.12571428571428572
Chris Thompson,RB,Washington Redskins,338,0.24193548387096775,0.04838709677419355,0.04838709677419355,0.20967741935483872,0.0967741935483871,0.08064516129032258,0.27419354838709675
Jamison Crowder,WR,Washington Redskins,307,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
Josh Doctson,WR,Washington Redskins,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
